,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
0,Mirana,81,44,37,54.32%,50.94%,37,21,16,56.76%,44,23,21,52.27%
1,Batrider,71,34,37,47.89%,44.65%,44,22,22,50.00%,27,12,15,44.44%
2,Shadow Demon,60,35,25,58.33%,37.74%,31,20,11,64.52%,29,15,14,51.72%
3,Elder Titan,49,32,17,65.31%,30.82%,20,10,10,50.00%,29,22,7,75.86%
4,Ogre Magi,49,21,28,42.86%,30.82%,23,11,12,47.83%,26,10,16,38.46%
5,Faceless Void,48,25,23,52.08%,30.19%,25,14,11,56.00%,23,11,12,47.83%
6,Oracle,48,25,23,52.08%,30.19%,22,14,8,63.64%,26,11,15,42.31%
7,Timbersaw,47,25,22,53.19%,29.56%,20,12,8,60.00%,27,13,14,48.15%
8,Drow Ranger,43,24,19,55.81%,27.04%,24,13,11,54.17%,19,11,8,57.89%
9,Axe,37,21,16,56.76%,23.27%,14,9,5,64.29%,23,12,11,52.17%
10,Juggernaut,37,19,18,51.35%,23.27%,23,13,10,56.52%,14,6,8,42.86%
11,Beastmaster,35,16,19,45.71%,22.01%,21,11,10,52.38%,14,5,9,35.71%
12,Kunkka,34,21,13,61.76%,21.38%,17,13,4,76.47%,17,8,9,47.06%
13,Lifestealer,31,10,21,32.26%,19.50%,12,3,9,25.00%,19,7,12,36.84%
14,Vengeful Spirit,30,14,16,46.67%,18.87%,16,7,9,43.75%,14,7,7,50.00%
15,Io,29,15,14,51.72%,18.24%,13,7,6,53.85%,16,8,8,50.00%
16,Keeper of the Light,29,14,15,48.28%,18.24%,16,7,9,43.75%,13,7,6,53.85%
17,Dazzle,29,10,19,34.48%,18.24%,13,6,7,46.15%,16,4,12,25.00%
18,Alchemist,29,8,21,27.59%,18.24%,20,7,13,35.00%,9,1,8,11.11%
19,Sand King,28,17,11,60.71%,17.61%,15,10,5,66.67%,13,7,6,53.85%
20,Slardar,28,14,14,50.00%,17.61%,15,7,8,46.67%,13,7,6,53.85%
21,Nyx Assassin,26,16,10,61.54%,16.35%,14,10,4,71.43%,12,6,6,50.00%
22,Morphling,25,16,9,64.00%,15.72%,15,8,7,53.33%,10,8,2,80.00%
23,Naga Siren,25,13,12,52.00%,15.72%,12,7,5,58.33%,13,6,7,46.15%
24,Slark,25,13,12,52.00%,15.72%,13,9,4,69.23%,12,4,8,33.33%
25,Bounty Hunter,24,15,9,62.50%,15.09%,12,8,4,66.67%,12,7,5,58.33%
26,Huskar,20,11,9,55.00%,12.58%,10,5,5,50.00%,10,6,4,60.00%
27,Invoker,20,10,10,50.00%,12.58%,10,5,5,50.00%,10,5,5,50.00%
28,Razor,19,12,7,63.16%,11.95%,12,9,3,75.00%,7,3,4,42.86%
29,Terrorblade,18,7,11,38.89%,11.32%,6,2,4,33.33%,12,5,7,41.67%
30,Enchantress,17,2,15,11.76%,10.69%,10,0,10,0.00%,7,2,5,28.57%
31,Rubick,16,9,7,56.25%,10.06%,12,8,4,66.67%,4,1,3,25.00%
32,Sven,16,9,7,56.25%,10.06%,9,4,5,44.44%,7,5,2,71.43%
33,Death Prophet,16,8,8,50.00%,10.06%,8,5,3,62.50%,8,3,5,37.50%
34,Tidehunter,16,6,10,37.50%,10.06%,6,5,1,83.33%,10,1,9,10.00%
35,Earth Spirit,16,3,13,18.75%,10.06%,5,3,2,60.00%,11,0,11,0.00%
36,Ursa,15,11,4,73.33%,9.43%,7,5,2,71.43%,8,6,2,75.00%
37,Riki,15,7,8,46.67%,9.43%,7,5,2,71.43%,8,2,6,25.00%
38,Lion,15,6,9,40.00%,9.43%,6,1,5,16.67%,9,5,4,55.56%
39,Dark Seer,15,5,10,33.33%,9.43%,4,2,2,50.00%,11,3,8,27.27%
40,Chen,14,9,5,64.29%,8.81%,8,4,4,50.00%,6,5,1,83.33%
41,Ember Spirit,14,7,7,50.00%,8.81%,9,5,4,55.56%,5,2,3,40.00%
42,Skywrath Mage,14,7,7,50.00%,8.81%,8,4,4,50.00%,6,3,3,50.00%
43,Disruptor,13,6,7,46.15%,8.18%,9,3,6,33.33%,4,3,1,75.00%
44,Storm Spirit,13,6,7,46.15%,8.18%,5,2,3,40.00%,8,4,4,50.00%
45,Undying,12,9,3,75.00%,7.55%,6,4,2,66.67%,6,5,1,83.33%
46,Luna,12,6,6,50.00%,7.55%,6,4,2,66.67%,6,2,4,33.33%
47,Witch Doctor,12,4,8,33.33%,7.55%,8,3,5,37.50%,4,1,3,25.00%
48,Night Stalker,11,5,6,45.45%,6.92%,7,2,5,28.57%,4,3,1,75.00%
49,Dragon Knight,11,4,7,36.36%,6.92%,7,3,4,42.86%,4,1,3,25.00%
50,Medusa,10,7,3,70.00%,6.29%,5,3,2,60.00%,5,4,1,80.00%
51,Lich,10,4,6,40.00%,6.29%,3,1,2,33.33%,7,3,4,42.86%
52,Templar Assassin,10,3,7,30.00%,6.29%,5,1,4,20.00%,5,2,3,40.00%
53,Tinker,10,3,7,30.00%,6.29%,7,2,5,28.57%,3,1,2,33.33%
54,Phantom Assassin,9,6,3,66.67%,5.66%,2,1,1,50.00%,7,5,2,71.43%
55,Winter Wyvern,9,6,3,66.67%,5.66%,4,3,1,75.00%,5,3,2,60.00%
56,Anti-Mage,9,3,6,33.33%,5.66%,3,0,3,0.00%,6,3,3,50.00%
57,Phantom Lancer,8,6,2,75.00%,5.03%,4,3,1,75.00%,4,3,1,75.00%
58,Nature's Prophet,8,3,5,37.50%,5.03%,1,1,0,100.00%,7,2,5,28.57%
59,Queen of Pain,8,3,5,37.50%,5.03%,3,1,2,33.33%,5,2,3,40.00%
60,Lone Druid,7,5,2,71.43%,4.40%,4,3,1,75.00%,3,2,1,66.67%
61,Shadow Shaman,7,4,3,57.14%,4.40%,3,0,3,0.00%,4,4,0,100.00%
62,Warlock,7,4,3,57.14%,4.40%,3,2,1,66.67%,4,2,2,50.00%
63,Legion Commander,7,2,5,28.57%,4.40%,3,1,2,33.33%,4,1,3,25.00%
64,Bristleback,6,4,2,66.67%,3.77%,2,1,1,50.00%,4,3,1,75.00%
65,Puck,6,4,2,66.67%,3.77%,3,2,1,66.67%,3,2,1,66.67%
66,Silencer,6,2,4,33.33%,3.77%,4,2,2,50.00%,2,0,2,0.00%
67,Ancient Apparition,5,4,1,80.00%,3.14%,4,3,1,75.00%,1,1,0,100.00%
68,Magnus,5,3,2,60.00%,3.14%,3,2,1,66.67%,2,1,1,50.00%
69,Spirit Breaker,5,3,2,60.00%,3.14%,2,1,1,50.00%,3,2,1,66.67%
70,Venomancer,5,2,3,40.00%,3.14%,2,1,1,50.00%,3,1,2,33.33%
71,Tiny,5,1,4,20.00%,3.14%,4,1,3,25.00%,1,0,1,0.00%
72,Phoenix,5,0,5,0.00%,3.14%,1,0,1,0.00%,4,0,4,0.00%
73,Abaddon,4,4,0,100.00%,2.52%,2,2,0,100.00%,2,2,0,100.00%
74,Broodmother,4,3,1,75.00%,2.52%,1,1,0,100.00%,3,2,1,66.67%
75,Bane,4,2,2,50.00%,2.52%,0,0,0,-,4,2,2,50.00%
76,Crystal Maiden,4,1,3,25.00%,2.52%,4,1,3,25.00%,0,0,0,-
77,Lycan,4,0,4,0.00%,2.52%,1,0,1,0.00%,3,0,3,0.00%
78,Weaver,4,0,4,0.00%,2.52%,0,0,0,-,4,0,4,0.00%
79,Viper,3,3,0,100.00%,1.89%,2,2,0,100.00%,1,1,0,100.00%
80,Brewmaster,3,1,2,33.33%,1.89%,1,1,0,100.00%,2,0,2,0.00%
81,Clinkz,3,1,2,33.33%,1.89%,1,0,1,0.00%,2,1,1,50.00%
82,Enigma,3,1,2,33.33%,1.89%,3,1,2,33.33%,0,0,0,-
83,Pudge,3,0,3,0.00%,1.89%,1,0,1,0.00%,2,0,2,0.00%
84,Chaos Knight,2,2,0,100.00%,1.26%,1,1,0,100.00%,1,1,0,100.00%
85,Outworld Destroyer,2,2,0,100.00%,1.26%,1,1,0,100.00%,1,1,0,100.00%
86,Zeus,2,2,0,100.00%,1.26%,1,1,0,100.00%,1,1,0,100.00%
87,Doom,2,1,1,50.00%,1.26%,0,0,0,-,2,1,1,50.00%
88,Gyrocopter,2,1,1,50.00%,1.26%,1,0,1,0.00%,1,1,0,100.00%
89,Tusk,2,0,2,0.00%,1.26%,0,0,0,-,2,0,2,0.00%
90,Windranger,2,0,2,0.00%,1.26%,1,0,1,0.00%,1,0,1,0.00%
91,Centaur Warrunner,1,1,0,100.00%,0.63%,1,1,0,100.00%,0,0,0,-
92,Shadow Fiend,1,1,0,100.00%,0.63%,1,1,0,100.00%,0,0,0,-
93,Spectre,1,1,0,100.00%,0.63%,0,0,0,-,1,1,0,100.00%
94,Earthshaker,1,0,1,0.00%,0.63%,1,0,1,0.00%,0,0,0,-
95,Jakiro,1,0,1,0.00%,0.63%,1,0,1,0.00%,0,0,0,-
96,Meepo,1,0,1,0.00%,0.63%,0,0,0,-,1,0,1,0.00%
97,Necrophos,1,0,1,0.00%,0.63%,1,0,1,0.00%,0,0,0,-
98,Omniknight,1,0,1,0.00%,0.63%,0,0,0,-,1,0,1,0.00%
99,Pugna,1,0,1,0.00%,0.63%,0,0,0,-,1,0,1,0.00%
100,Sniper,1,0,1,0.00%,0.63%,1,0,1,0.00%,0,0,0,-
101,Techies,1,0,1,0.00%,0.63%,0,0,0,-,1,0,1,0.00%
102,Troll Warlord,1,0,1,0.00%,0.63%,1,0,1,0.00%,0,0,0,-
103,Wraith King,1,0,1,0.00%,0.63%,0,0,0,-,1,0,1,0.00%
