,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
0,Earthshaker,71,42,29,59.15%,37.17%,33,20,13,60.61%,38,22,16,57.89%
1,Sand King,68,24,44,35.29%,35.60%,32,14,18,43.75%,36,10,26,27.78%
2,Batrider,62,29,33,46.77%,32.46%,32,18,14,56.25%,30,11,19,36.67%
3,Puck,61,29,32,47.54%,31.94%,24,15,9,62.50%,37,14,23,37.84%
4,Night Stalker,50,25,25,50.00%,26.18%,34,17,17,50.00%,16,8,8,50.00%
5,Faceless Void,46,18,28,39.13%,24.08%,29,10,19,34.48%,17,8,9,47.06%
6,Nyx Assassin,45,32,13,71.11%,23.56%,23,16,7,69.57%,22,16,6,72.73%
7,Lich,44,22,22,50.00%,23.04%,21,11,10,52.38%,23,11,12,47.83%
8,Lycan,43,25,18,58.14%,22.51%,18,10,8,55.56%,25,15,10,60.00%
9,Earth Spirit,40,23,17,57.50%,20.94%,15,9,6,60.00%,25,14,11,56.00%
10,Queen of Pain,40,18,22,45.00%,20.94%,19,10,9,52.63%,21,8,13,38.10%
11,Sven,39,25,14,64.10%,20.42%,23,16,7,69.57%,16,9,7,56.25%
12,Shadow Shaman,36,19,17,52.78%,18.85%,26,14,12,53.85%,10,5,5,50.00%
13,Ancient Apparition,33,20,13,60.61%,17.28%,24,15,9,62.50%,9,5,4,55.56%
14,Clockwerk,33,7,26,21.21%,17.28%,17,5,12,29.41%,16,2,14,12.50%
15,Kunkka,32,18,14,56.25%,16.75%,17,9,8,52.94%,15,9,6,60.00%
16,Silencer,32,10,22,31.25%,16.75%,16,5,11,31.25%,16,5,11,31.25%
17,Necrophos,31,19,12,61.29%,16.23%,19,11,8,57.89%,12,8,4,66.67%
18,Nature's Prophet,30,18,12,60.00%,15.71%,13,10,3,76.92%,17,8,9,47.06%
19,Legion Commander,30,13,17,43.33%,15.71%,10,4,6,40.00%,20,9,11,45.00%
20,Death Prophet,29,15,14,51.72%,15.18%,14,8,6,57.14%,15,7,8,46.67%
21,Venomancer,28,17,11,60.71%,14.66%,18,11,7,61.11%,10,6,4,60.00%
22,Oracle,28,14,14,50.00%,14.66%,11,6,5,54.55%,17,8,9,47.06%
23,Rubick,28,12,16,42.86%,14.66%,15,5,10,33.33%,13,7,6,53.85%
24,Dazzle,27,22,5,81.48%,14.14%,11,9,2,81.82%,16,13,3,81.25%
25,Phantom Lancer,27,14,13,51.85%,14.14%,12,5,7,41.67%,15,9,6,60.00%
26,Weaver,27,13,14,48.15%,14.14%,17,9,8,52.94%,10,4,6,40.00%
27,Dark Seer,27,12,15,44.44%,14.14%,15,8,7,53.33%,12,4,8,33.33%
28,Disruptor,25,15,10,60.00%,13.09%,10,5,5,50.00%,15,10,5,66.67%
29,Mirana,25,14,11,56.00%,13.09%,7,2,5,28.57%,18,12,6,66.67%
30,Ember Spirit,25,13,12,52.00%,13.09%,11,5,6,45.45%,14,8,6,57.14%
31,Troll Warlord,23,11,12,47.83%,12.04%,11,6,5,54.55%,12,5,7,41.67%
32,Invoker,21,10,11,47.62%,10.99%,11,6,5,54.55%,10,4,6,40.00%
33,Dragon Knight,21,9,12,42.86%,10.99%,12,4,8,33.33%,9,5,4,55.56%
34,Winter Wyvern,20,11,9,55.00%,10.47%,6,4,2,66.67%,14,7,7,50.00%
35,Witch Doctor,20,8,12,40.00%,10.47%,9,5,4,55.56%,11,3,8,27.27%
36,Tusk,19,8,11,42.11%,9.95%,10,5,5,50.00%,9,3,6,33.33%
37,Ursa,18,11,7,61.11%,9.42%,10,6,4,60.00%,8,5,3,62.50%
38,Bristleback,18,10,8,55.56%,9.42%,9,6,3,66.67%,9,4,5,44.44%
39,Bloodseeker,18,7,11,38.89%,9.42%,6,2,4,33.33%,12,5,7,41.67%
40,Keeper of the Light,17,8,9,47.06%,8.90%,7,3,4,42.86%,10,5,5,50.00%
41,Visage,17,4,13,23.53%,8.90%,8,3,5,37.50%,9,1,8,11.11%
42,Naga Siren,16,10,6,62.50%,8.38%,3,2,1,66.67%,13,8,5,61.54%
43,Anti-Mage,16,8,8,50.00%,8.38%,9,6,3,66.67%,7,2,5,28.57%
44,Tidehunter,16,8,8,50.00%,8.38%,7,2,5,28.57%,9,6,3,66.67%
45,Drow Ranger,16,7,9,43.75%,8.38%,7,4,3,57.14%,9,3,6,33.33%
46,Pugna,16,7,9,43.75%,8.38%,5,1,4,20.00%,11,6,5,54.55%
47,Magnus,15,10,5,66.67%,7.85%,8,6,2,75.00%,7,4,3,57.14%
48,Spirit Breaker,15,8,7,53.33%,7.85%,9,4,5,44.44%,6,4,2,66.67%
49,Io,15,7,8,46.67%,7.85%,7,6,1,85.71%,8,1,7,12.50%
50,Slardar,15,7,8,46.67%,7.85%,9,4,5,44.44%,6,3,3,50.00%
51,Enigma,15,5,10,33.33%,7.85%,8,2,6,25.00%,7,3,4,42.86%
52,Lina,15,4,11,26.67%,7.85%,6,1,5,16.67%,9,3,6,33.33%
53,Alchemist,14,8,6,57.14%,7.33%,7,6,1,85.71%,7,2,5,28.57%
54,Doom,14,8,6,57.14%,7.33%,8,5,3,62.50%,6,3,3,50.00%
55,Lifestealer,14,7,7,50.00%,7.33%,7,4,3,57.14%,7,3,4,42.86%
56,Terrorblade,14,7,7,50.00%,7.33%,7,4,3,57.14%,7,3,4,42.86%
57,Timbersaw,14,5,9,35.71%,7.33%,9,3,6,33.33%,5,2,3,40.00%
58,Morphling,12,7,5,58.33%,6.28%,5,3,2,60.00%,7,4,3,57.14%
59,Templar Assassin,12,6,6,50.00%,6.28%,5,1,4,20.00%,7,5,2,71.43%
60,Juggernaut,12,5,7,41.67%,6.28%,5,2,3,40.00%,7,3,4,42.86%
61,Chaos Knight,12,4,8,33.33%,6.28%,5,2,3,40.00%,7,2,5,28.57%
62,Monkey King,12,4,8,33.33%,6.28%,7,3,4,42.86%,5,1,4,20.00%
63,Storm Spirit,11,8,3,72.73%,5.76%,8,6,2,75.00%,3,2,1,66.67%
64,Crystal Maiden,11,5,6,45.45%,5.76%,5,3,2,60.00%,6,2,4,33.33%
65,Razor,11,4,7,36.36%,5.76%,6,3,3,50.00%,5,1,4,20.00%
66,Medusa,10,8,2,80.00%,5.24%,10,8,2,80.00%,0,0,0,-
67,Lone Druid,10,3,7,30.00%,5.24%,3,1,2,33.33%,7,2,5,28.57%
68,Tinker,9,2,7,22.22%,4.71%,5,1,4,20.00%,4,1,3,25.00%
69,Axe,8,5,3,62.50%,4.19%,4,1,3,25.00%,4,4,0,100.00%
70,Shadow Demon,8,5,3,62.50%,4.19%,6,3,3,50.00%,2,2,0,100.00%
71,Bounty Hunter,8,4,4,50.00%,4.19%,6,3,3,50.00%,2,1,1,50.00%
72,Centaur Warrunner,8,4,4,50.00%,4.19%,6,3,3,50.00%,2,1,1,50.00%
73,Beastmaster,7,5,2,71.43%,3.66%,3,2,1,66.67%,4,3,1,75.00%
74,Brewmaster,7,4,3,57.14%,3.66%,2,2,0,100.00%,5,2,3,40.00%
75,Enchantress,7,4,3,57.14%,3.66%,3,1,2,33.33%,4,3,1,75.00%
76,Phantom Assassin,7,4,3,57.14%,3.66%,4,3,1,75.00%,3,1,2,33.33%
77,Luna,7,3,4,42.86%,3.66%,5,2,3,40.00%,2,1,1,50.00%
78,Viper,7,3,4,42.86%,3.66%,5,1,4,20.00%,2,2,0,100.00%
79,Shadow Fiend,7,2,5,28.57%,3.66%,3,0,3,0.00%,4,2,2,50.00%
80,Sniper,6,5,1,83.33%,3.14%,4,3,1,75.00%,2,2,0,100.00%
81,Broodmother,6,4,2,66.67%,3.14%,1,1,0,100.00%,5,3,2,60.00%
82,Elder Titan,6,3,3,50.00%,3.14%,0,0,0,-,6,3,3,50.00%
83,Outworld Destroyer,6,1,5,16.67%,3.14%,2,1,1,50.00%,4,0,4,0.00%
84,Ogre Magi,5,5,0,100.00%,2.62%,4,4,0,100.00%,1,1,0,100.00%
85,Leshrac,5,4,1,80.00%,2.62%,2,2,0,100.00%,3,2,1,66.67%
86,Warlock,5,2,3,40.00%,2.62%,2,1,1,50.00%,3,1,2,33.33%
87,Jakiro,5,1,4,20.00%,2.62%,2,0,2,0.00%,3,1,2,33.33%
88,Phoenix,4,3,1,75.00%,2.09%,1,0,1,0.00%,3,3,0,100.00%
89,Clinkz,4,2,2,50.00%,2.09%,1,1,0,100.00%,3,1,2,33.33%
90,Omniknight,4,2,2,50.00%,2.09%,4,2,2,50.00%,0,0,0,-
91,Zeus,4,2,2,50.00%,2.09%,3,1,2,33.33%,1,1,0,100.00%
92,Riki,4,1,3,25.00%,2.09%,1,1,0,100.00%,3,0,3,0.00%
93,Huskar,3,3,0,100.00%,1.57%,1,1,0,100.00%,2,2,0,100.00%
94,Arc Warden,3,1,2,33.33%,1.57%,1,0,1,0.00%,2,1,1,50.00%
95,Gyrocopter,3,1,2,33.33%,1.57%,2,1,1,50.00%,1,0,1,0.00%
96,Underlord,3,1,2,33.33%,1.57%,1,1,0,100.00%,2,0,2,0.00%
97,Vengeful Spirit,3,1,2,33.33%,1.57%,2,0,2,0.00%,1,1,0,100.00%
98,Abaddon,2,2,0,100.00%,1.05%,2,2,0,100.00%,0,0,0,-
99,Chen,2,1,1,50.00%,1.05%,1,1,0,100.00%,1,0,1,0.00%
100,Slark,2,1,1,50.00%,1.05%,2,1,1,50.00%,0,0,0,-
101,Treant Protector,2,0,2,0.00%,1.05%,1,0,1,0.00%,1,0,1,0.00%
102,Windranger,2,0,2,0.00%,1.05%,1,0,1,0.00%,1,0,1,0.00%
103,Meepo,1,0,1,0.00%,0.52%,0,0,0,-,1,0,1,0.00%
104,Pudge,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
105,Skywrath Mage,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
106,Undying,1,0,1,0.00%,0.52%,0,0,0,-,1,0,1,0.00%
