,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
0,Vengeful Spirit,89,48,41,53.93%,45.64%,49,28,21,57.14%,40,20,20,50.00%
1,Tiny,78,32,46,41.03%,40.00%,28,14,14,50.00%,50,18,32,36.00%
2,Mirana,74,40,34,54.05%,37.95%,27,22,5,81.48%,47,18,29,38.30%
3,Wraith King,67,34,33,50.75%,34.36%,28,18,10,64.29%,39,16,23,41.03%
4,Dark Willow,66,37,29,56.06%,33.85%,33,23,10,69.70%,33,14,19,42.42%
5,Weaver,62,36,26,58.06%,31.79%,36,23,13,63.89%,26,13,13,50.00%
6,Silencer,58,29,29,50.00%,29.74%,34,18,16,52.94%,24,11,13,45.83%
7,Necrophos,56,25,31,44.64%,28.72%,36,20,16,55.56%,20,5,15,25.00%
8,Winter Wyvern,55,29,26,52.73%,28.21%,27,15,12,55.56%,28,14,14,50.00%
9,Crystal Maiden,52,26,26,50.00%,26.67%,20,10,10,50.00%,32,16,16,50.00%
10,Clinkz,51,25,26,49.02%,26.15%,26,15,11,57.69%,25,10,15,40.00%
11,Ursa,51,22,29,43.14%,26.15%,22,12,10,54.55%,29,10,19,34.48%
12,Earthshaker,49,29,20,59.18%,25.13%,29,16,13,55.17%,20,13,7,65.00%
13,Lina,41,23,18,56.10%,21.03%,22,13,9,59.09%,19,10,9,52.63%
14,Phantom Lancer,39,21,18,53.85%,20.00%,26,12,14,46.15%,13,9,4,69.23%
15,Storm Spirit,38,19,19,50.00%,19.49%,18,8,10,44.44%,20,11,9,55.00%
16,Bane,36,20,16,55.56%,18.46%,13,9,4,69.23%,23,11,12,47.83%
17,Spectre,35,19,16,54.29%,17.95%,18,12,6,66.67%,17,7,10,41.18%
18,Enchantress,34,19,15,55.88%,17.44%,18,10,8,55.56%,16,9,7,56.25%
19,Gyrocopter,34,18,16,52.94%,17.44%,13,7,6,53.85%,21,11,10,52.38%
20,Nature's Prophet,33,15,18,45.45%,16.92%,21,11,10,52.38%,12,4,8,33.33%
21,Io,33,13,20,39.39%,16.92%,16,6,10,37.50%,17,7,10,41.18%
22,Bloodseeker,31,15,16,48.39%,15.90%,11,5,6,45.45%,20,10,10,50.00%
23,Drow Ranger,29,20,9,68.97%,14.87%,18,11,7,61.11%,11,9,2,81.82%
24,Undying,29,17,12,58.62%,14.87%,22,16,6,72.73%,7,1,6,14.29%
25,Phoenix,28,17,11,60.71%,14.36%,10,7,3,70.00%,18,10,8,55.56%
26,Pugna,27,14,13,51.85%,13.85%,14,6,8,42.86%,13,8,5,61.54%
27,Chen,26,14,12,53.85%,13.33%,11,5,6,45.45%,15,9,6,60.00%
28,Templar Assassin,26,14,12,53.85%,13.33%,14,10,4,71.43%,12,4,8,33.33%
29,Alchemist,26,12,14,46.15%,13.33%,14,6,8,42.86%,12,6,6,50.00%
30,Dragon Knight,26,11,15,42.31%,13.33%,15,8,7,53.33%,11,3,8,27.27%
31,Invoker,24,16,8,66.67%,12.31%,14,10,4,71.43%,10,6,4,60.00%
32,Nyx Assassin,20,13,7,65.00%,10.26%,5,4,1,80.00%,15,9,6,60.00%
33,Earth Spirit,20,10,10,50.00%,10.26%,10,5,5,50.00%,10,5,5,50.00%
34,Windranger,20,4,16,20.00%,10.26%,9,2,7,22.22%,11,2,9,18.18%
35,Enigma,19,10,9,52.63%,9.74%,8,3,5,37.50%,11,7,4,63.64%
36,Broodmother,18,12,6,66.67%,9.23%,7,4,3,57.14%,11,8,3,72.73%
37,Ogre Magi,18,10,8,55.56%,9.23%,10,7,3,70.00%,8,3,5,37.50%
38,Terrorblade,17,8,9,47.06%,8.72%,8,4,4,50.00%,9,4,5,44.44%
39,Huskar,17,5,12,29.41%,8.72%,8,3,5,37.50%,9,2,7,22.22%
40,Kunkka,16,10,6,62.50%,8.21%,6,5,1,83.33%,10,5,5,50.00%
41,Tusk,15,8,7,53.33%,7.69%,9,5,4,55.56%,6,3,3,50.00%
42,Pangolier,15,5,10,33.33%,7.69%,5,2,3,40.00%,10,3,7,30.00%
43,Lich,14,7,7,50.00%,7.18%,7,4,3,57.14%,7,3,4,42.86%
44,Lion,14,6,8,42.86%,7.18%,8,3,5,37.50%,6,3,3,50.00%
45,Rubick,14,3,11,21.43%,7.18%,7,2,5,28.57%,7,1,6,14.29%
46,Venomancer,13,9,4,69.23%,6.67%,10,7,3,70.00%,3,2,1,66.67%
47,Brewmaster,13,8,5,61.54%,6.67%,7,5,2,71.43%,6,3,3,50.00%
48,Zeus,13,6,7,46.15%,6.67%,4,3,1,75.00%,9,3,6,33.33%
49,Batrider,11,7,4,63.64%,5.64%,6,4,2,66.67%,5,3,2,60.00%
50,Elder Titan,11,3,8,27.27%,5.64%,4,3,1,75.00%,7,0,7,0.00%
51,Ember Spirit,10,5,5,50.00%,5.13%,6,2,4,33.33%,4,3,1,75.00%
52,Treant Protector,10,5,5,50.00%,5.13%,8,5,3,62.50%,2,0,2,0.00%
53,Shadow Shaman,10,4,6,40.00%,5.13%,2,2,0,100.00%,8,2,6,25.00%
54,Morphling,10,3,7,30.00%,5.13%,6,3,3,50.00%,4,0,4,0.00%
55,Oracle,10,3,7,30.00%,5.13%,5,2,3,40.00%,5,1,4,20.00%
56,Monkey King,10,2,8,20.00%,5.13%,10,2,8,20.00%,0,0,0,-
57,Arc Warden,9,6,3,66.67%,4.62%,6,4,2,66.67%,3,2,1,66.67%
58,Faceless Void,8,5,3,62.50%,4.10%,4,2,2,50.00%,4,3,1,75.00%
59,Lycan,8,4,4,50.00%,4.10%,5,3,2,60.00%,3,1,2,33.33%
60,Clockwerk,8,3,5,37.50%,4.10%,5,3,2,60.00%,3,0,3,0.00%
61,Shadow Demon,8,3,5,37.50%,4.10%,2,2,0,100.00%,6,1,5,16.67%
62,Visage,8,3,5,37.50%,4.10%,3,1,2,33.33%,5,2,3,40.00%
63,Centaur Warrunner,8,2,6,25.00%,4.10%,5,2,3,40.00%,3,0,3,0.00%
64,Underlord,7,2,5,28.57%,3.59%,2,1,1,50.00%,5,1,4,20.00%
65,Legion Commander,6,3,3,50.00%,3.08%,3,1,2,33.33%,3,2,1,66.67%
66,Medusa,6,3,3,50.00%,3.08%,1,1,0,100.00%,5,2,3,40.00%
67,Shadow Fiend,6,3,3,50.00%,3.08%,4,1,3,25.00%,2,2,0,100.00%
68,Magnus,6,1,5,16.67%,3.08%,4,0,4,0.00%,2,1,1,50.00%
69,Doom,5,3,2,60.00%,2.56%,1,1,0,100.00%,4,2,2,50.00%
70,Timbersaw,5,3,2,60.00%,2.56%,4,2,2,50.00%,1,1,0,100.00%
71,Jakiro,5,2,3,40.00%,2.56%,3,1,2,33.33%,2,1,1,50.00%
72,Leshrac,5,2,3,40.00%,2.56%,2,0,2,0.00%,3,2,1,66.67%
73,Troll Warlord,5,2,3,40.00%,2.56%,2,2,0,100.00%,3,0,3,0.00%
74,Disruptor,5,0,5,0.00%,2.56%,3,0,3,0.00%,2,0,2,0.00%
75,Keeper of the Light,4,3,1,75.00%,2.05%,2,2,0,100.00%,2,1,1,50.00%
76,Witch Doctor,4,1,3,25.00%,2.05%,2,1,1,50.00%,2,0,2,0.00%
77,Meepo,3,3,0,100.00%,1.54%,3,3,0,100.00%,0,0,0,-
78,Ancient Apparition,3,2,1,66.67%,1.54%,0,0,0,-,3,2,1,66.67%
79,Axe,3,2,1,66.67%,1.54%,1,1,0,100.00%,2,1,1,50.00%
80,Bristleback,3,2,1,66.67%,1.54%,2,1,1,50.00%,1,1,0,100.00%
81,Lone Druid,3,2,1,66.67%,1.54%,0,0,0,-,3,2,1,66.67%
82,Luna,3,1,2,33.33%,1.54%,2,1,1,50.00%,1,0,1,0.00%
83,Riki,3,1,2,33.33%,1.54%,1,0,1,0.00%,2,1,1,50.00%
84,Tinker,3,1,2,33.33%,1.54%,1,0,1,0.00%,2,1,1,50.00%
85,Warlock,3,1,2,33.33%,1.54%,2,1,1,50.00%,1,0,1,0.00%
86,Queen of Pain,2,2,0,100.00%,1.03%,1,1,0,100.00%,1,1,0,100.00%
87,Spirit Breaker,2,2,0,100.00%,1.03%,0,0,0,-,2,2,0,100.00%
88,Lifestealer,2,1,1,50.00%,1.03%,2,1,1,50.00%,0,0,0,-
89,Pudge,2,1,1,50.00%,1.03%,1,0,1,0.00%,1,1,0,100.00%
90,Sven,2,1,1,50.00%,1.03%,2,1,1,50.00%,0,0,0,-
91,Viper,2,1,1,50.00%,1.03%,1,1,0,100.00%,1,0,1,0.00%
92,Abaddon,2,0,2,0.00%,1.03%,1,0,1,0.00%,1,0,1,0.00%
93,Bounty Hunter,2,0,2,0.00%,1.03%,2,0,2,0.00%,0,0,0,-
94,Death Prophet,2,0,2,0.00%,1.03%,1,0,1,0.00%,1,0,1,0.00%
95,Juggernaut,2,0,2,0.00%,1.03%,2,0,2,0.00%,0,0,0,-
96,Phantom Assassin,2,0,2,0.00%,1.03%,0,0,0,-,2,0,2,0.00%
97,Puck,2,0,2,0.00%,1.03%,2,0,2,0.00%,0,0,0,-
98,Beastmaster,1,1,0,100.00%,0.51%,0,0,0,-,1,1,0,100.00%
99,Naga Siren,1,1,0,100.00%,0.51%,1,1,0,100.00%,0,0,0,-
100,Tidehunter,1,1,0,100.00%,0.51%,1,1,0,100.00%,0,0,0,-
101,Anti-Mage,1,0,1,0.00%,0.51%,1,0,1,0.00%,0,0,0,-
102,Chaos Knight,1,0,1,0.00%,0.51%,0,0,0,-,1,0,1,0.00%
103,Night Stalker,1,0,1,0.00%,0.51%,1,0,1,0.00%,0,0,0,-
104,Omniknight,1,0,1,0.00%,0.51%,0,0,0,-,1,0,1,0.00%
105,Outworld Destroyer,1,0,1,0.00%,0.51%,1,0,1,0.00%,0,0,0,-
106,Razor,1,0,1,0.00%,0.51%,1,0,1,0.00%,0,0,0,-
107,Sand King,1,0,1,0.00%,0.51%,0,0,0,-,1,0,1,0.00%
108,Skywrath Mage,1,0,1,0.00%,0.51%,1,0,1,0.00%,0,0,0,-
109,Sniper,1,0,1,0.00%,0.51%,0,0,0,-,1,0,1,0.00%
